Date,PM10 AQI Value,Main Pollutant,Site Name,Site ID,Source
1/1/2000,53,,Hawthorne,06-037-5001,AQS
1/7/2000,58,,Burbank,06-037-1002,AQS
1/13/2000,73,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
1/16/2000,44,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
1/19/2000,46,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
1/22/2000,19,,Mission Viejo,06-059-2022,AQS
1/25/2000,17,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
1/28/2000,40,,Mission Viejo,06-059-2022,AQS
1/31/2000,30,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
2/1/2000,14,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/2/2000,16,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/3/2000,21,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/4/2000,16,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/5/2000,16,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/6/2000,45,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
2/7/2000,20,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/8/2000,23,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/9/2000,17,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/10/2000,9,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/11/2000,9,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/12/2000,19,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
2/13/2000,5,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/14/2000,5,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/15/2000,12,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/16/2000,6,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/17/2000,6,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/18/2000,36,,Hawthorne,06-037-5001,AQS
2/19/2000,10,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/20/2000,10,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/21/2000,6,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/22/2000,10,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/23/2000,4,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/24/2000,26,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
2/25/2000,8,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/26/2000,34,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
2/27/2000,8,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/28/2000,6,,Lancaster-Ponderosa St.,06-037-9002,AQS
2/29/2000,13,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/1/2000,31,,Anaheim (1010 Harbor Blvd),06-059-0001,AQS
3/2/2000,17,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/3/2000,8,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/4/2000,6,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/5/2000,4,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/6/2000,10,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/7/2000,26,,Burbank,06-037-1002,AQS
3/8/2000,6,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/9/2000,6,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/10/2000,10,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/11/2000,11,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/12/2000,11,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/13/2000,57,,Azusa,06-037-0002,AQS
3/14/2000,16,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/15/2000,16,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/16/2000,27,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/17/2000,26,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/18/2000,16,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/19/2000,48,,Los Angeles-North Main Street,06-037-1103,AQS
3/20/2000,104,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/21/2000,26,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/22/2000,19,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/23/2000,24,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/24/2000,21,,Lancaster-Ponderosa St.,06-037-9002,AQS
3/25/2000,44,,Azusa,06-037-0002,AQS
3/26/2000,19,,Lancaster-Ponderosa St.,06-037-9002,AQS
