PM10 AQI Value,Site Name,Site ID,Year,New Date,Month
53,Hawthorne,06-037-5001,2000,2000-01-01,January
58,Burbank,06-037-1002,2000,2000-01-07,January
73,Anaheim,06-059-0001,2000,2000-01-13,January
44,Anaheim,06-059-0001,2000,2000-01-16,January
46,Anaheim,06-059-0001,2000,2000-01-19,January
19,Mission Viejo,06-059-2022,2000,2000-01-22,January
17,Anaheim,06-059-0001,2000,2000-01-25,January
40,Mission Viejo,06-059-2022,2000,2000-01-28,January
30,Anaheim,06-059-0001,2000,2000-01-31,January
14,Lancaster,06-037-9002,2000,2000-02-01,February
16,Lancaster,06-037-9002,2000,2000-02-02,February
21,Lancaster,06-037-9002,2000,2000-02-03,February
16,Lancaster,06-037-9002,2000,2000-02-04,February
16,Lancaster,06-037-9002,2000,2000-02-05,February
45,Anaheim,06-059-0001,2000,2000-02-06,February
20,Lancaster,06-037-9002,2000,2000-02-07,February
23,Lancaster,06-037-9002,2000,2000-02-08,February
17,Lancaster,06-037-9002,2000,2000-02-09,February
9,Lancaster,06-037-9002,2000,2000-02-10,February
9,Lancaster,06-037-9002,2000,2000-02-11,February
19,Anaheim,06-059-0001,2000,2000-02-12,February
5,Lancaster,06-037-9002,2000,2000-02-13,February
5,Lancaster,06-037-9002,2000,2000-02-14,February
12,Lancaster,06-037-9002,2000,2000-02-15,February
6,Lancaster,06-037-9002,2000,2000-02-16,February
6,Lancaster,06-037-9002,2000,2000-02-17,February
36,Hawthorne,06-037-5001,2000,2000-02-18,February
10,Lancaster,06-037-9002,2000,2000-02-19,February
10,Lancaster,06-037-9002,2000,2000-02-20,February
6,Lancaster,06-037-9002,2000,2000-02-21,February
10,Lancaster,06-037-9002,2000,2000-02-22,February
4,Lancaster,06-037-9002,2000,2000-02-23,February
26,Anaheim,06-059-0001,2000,2000-02-24,February
8,Lancaster,06-037-9002,2000,2000-02-25,February
34,Anaheim,06-059-0001,2000,2000-02-26,February
8,Lancaster,06-037-9002,2000,2000-02-27,February
6,Lancaster,06-037-9002,2000,2000-02-28,February
13,Lancaster,06-037-9002,2000,2000-02-29,February
31,Anaheim,06-059-0001,2000,2000-03-01,March
17,Lancaster,06-037-9002,2000,2000-03-02,March
8,Lancaster,06-037-9002,2000,2000-03-03,March
6,Lancaster,06-037-9002,2000,2000-03-04,March
4,Lancaster,06-037-9002,2000,2000-03-05,March
10,Lancaster,06-037-9002,2000,2000-03-06,March
26,Burbank,06-037-1002,2000,2000-03-07,March
6,Lancaster,06-037-9002,2000,2000-03-08,March
6,Lancaster,06-037-9002,2000,2000-03-09,March
10,Lancaster,06-037-9002,2000,2000-03-10,March
11,Lancaster,06-037-9002,2000,2000-03-11,March
11,Lancaster,06-037-9002,2000,2000-03-12,March
57,Azusa,06-037-0002,2000,2000-03-13,March
16,Lancaster,06-037-9002,2000,2000-03-14,March
16,Lancaster,06-037-9002,2000,2000-03-15,March
27,Lancaster,06-037-9002,2000,2000-03-16,March
26,Lancaster,06-037-9002,2000,2000-03-17,March
16,Lancaster,06-037-9002,2000,2000-03-18,March
48,Los Angeles,06-037-1103,2000,2000-03-19,March
104,Lancaster,06-037-9002,2000,2000-03-20,March
26,Lancaster,06-037-9002,2000,2000-03-21,March
19,Lancaster,06-037-9002,2000,2000-03-22,March
24,Lancaster,06-037-9002,2000,2000-03-23,March
21,Lancaster,06-037-9002,2000,2000-03-24,March
44,Azusa,06-037-0002,2000,2000-03-25,March
19,Lancaster,06-037-9002,2000,2000-03-26,March
23,Lancaster,06-037-9002,2000,2000-03-27,March
29,Anaheim,06-059-0001,2000,2000-03-28,March
21,Lancaster,06-037-9002,2000,2000-03-29,March
32,Lancaster,06-037-9002,2000,2000-03-30,March
86,Anaheim,06-059-0001,2000,2000-03-31,March
26,Lancaster,06-037-9002,2000,2000-04-01,April
24,Lancaster,06-037-9002,2000,2000-04-02,April
30,Lancaster,06-037-9002,2000,2000-04-03,April
26,Lancaster,06-037-9002,2000,2000-04-04,April
29,Lancaster,06-037-9002,2000,2000-04-05,April
58,Azusa,06-037-0002,2000,2000-04-06,April
27,Lancaster,06-037-9002,2000,2000-04-07,April
26,Lancaster,06-037-9002,2000,2000-04-08,April
26,Lancaster,06-037-9002,2000,2000-04-09,April
15,Lancaster,06-037-9002,2000,2000-04-10,April
19,Lancaster,06-037-9002,2000,2000-04-11,April
60,Azusa,06-037-0002,2000,2000-04-12,April
24,Lancaster,06-037-9002,2000,2000-04-13,April
7,Lancaster,06-037-9002,2000,2000-04-14,April
12,Lancaster,06-037-9002,2000,2000-04-15,April
9,Lancaster,06-037-9002,2000,2000-04-16,April
10,Lancaster,06-037-9002,2000,2000-04-17,April
20,El Toro,06-059-2001,2000,2000-04-18,April
11,Lancaster,06-037-9002,2000,2000-04-19,April
16,Lancaster,06-037-9002,2000,2000-04-20,April
24,Lancaster,06-037-9002,2000,2000-04-21,April
19,Lancaster,06-037-9002,2000,2000-04-22,April
22,Lancaster,06-037-9002,2000,2000-04-23,April
52,Azusa,06-037-0002,2000,2000-04-24,April
27,Lancaster,06-037-9002,2000,2000-04-25,April
31,Lancaster,06-037-9002,2000,2000-04-26,April
42,Hawthorne,06-037-5001,2000,2000-04-27,April
65,Lancaster,06-037-9002,2000,2000-04-28,April
21,Lancaster,06-037-9002,2000,2000-04-29,April
35,Azusa,06-037-0002,2000,2000-04-30,April
26,Lancaster,06-037-9002,2000,2000-05-01,May
28,Lancaster,06-037-9002,2000,2000-05-02,May
21,Lancaster,06-037-9002,2000,2000-05-03,May
28,Lancaster,06-037-9002,2000,2000-05-04,May
25,Lancaster,06-037-9002,2000,2000-05-05,May
48,Azusa,06-037-0002,2000,2000-05-06,May
21,Lancaster,06-037-9002,2000,2000-05-07,May
25,Lancaster,06-037-9002,2000,2000-05-08,May
37,Lancaster,06-037-9002,2000,2000-05-09,May
55,Lancaster,06-037-9002,2000,2000-05-10,May
26,Lancaster,06-037-9002,2000,2000-05-11,May
51,Azusa,06-037-0002,2000,2000-05-12,May
22,Lancaster,06-037-9002,2000,2000-05-13,May
18,Lancaster,06-037-9002,2000,2000-05-14,May
19,Lancaster,06-037-9002,2000,2000-05-15,May
35,Lancaster,06-037-9002,2000,2000-05-16,May
21,Lancaster,06-037-9002,2000,2000-05-17,May
51,Azusa,06-037-0002,2000,2000-05-18,May
22,Lancaster,06-037-9002,2000,2000-05-19,May
25,Long Beach,06-037-4002,2000,2000-05-20,May
23,Lancaster,06-037-9002,2000,2000-05-21,May
25,Lancaster,06-037-9002,2000,2000-05-22,May
32,Lancaster,06-037-9002,2000,2000-05-23,May
32,Azusa,06-037-0002,2000,2000-05-24,May
45,Lancaster,06-037-9002,2000,2000-05-25,May
34,Lancaster,06-037-9002,2000,2000-05-26,May
29,Lancaster,06-037-9002,2000,2000-05-27,May
24,Lancaster,06-037-9002,2000,2000-05-28,May
24,Lancaster,06-037-9002,2000,2000-05-29,May
56,Azusa,06-037-0002,2000,2000-05-30,May
32,Lancaster,06-037-9002,2000,2000-05-31,May
30,Lancaster,06-037-9002,2000,2000-06-01,June
29,Lancaster,06-037-9002,2000,2000-06-02,June
37,Lancaster,06-037-9002,2000,2000-06-03,June
22,Lancaster,06-037-9002,2000,2000-06-04,June
55,Azusa,06-037-0002,2000,2000-06-05,June
28,Lancaster,06-037-9002,2000,2000-06-06,June
26,Lancaster,06-037-9002,2000,2000-06-07,June
17,Lancaster,06-037-9002,2000,2000-06-08,June
19,Lancaster,06-037-9002,2000,2000-06-09,June
19,Lancaster,06-037-9002,2000,2000-06-10,June
35,Burbank,06-037-1002,2000,2000-06-11,June
22,Lancaster,06-037-9002,2000,2000-06-12,June
25,Lancaster,06-037-9002,2000,2000-06-13,June
25,Lancaster,06-037-9002,2000,2000-06-14,June
41,Lancaster,06-037-9002,2000,2000-06-15,June
32,Lancaster,06-037-9002,2000,2000-06-16,June
29,,06-037-6002,2000,2000-06-17,June
19,Lancaster,06-037-9002,2000,2000-06-18,June
20,Lancaster,06-037-9002,2000,2000-06-19,June
42,Azusa,06-037-0002,2000,2000-06-20,June
31,Lancaster,06-037-9002,2000,2000-06-21,June
33,Lancaster,06-037-9002,2000,2000-06-22,June
39,Azusa,06-037-0002,2000,2000-06-23,June
16,Lancaster,06-037-9002,2000,2000-06-24,June
22,Lancaster,06-037-9002,2000,2000-06-25,June
28,Lancaster,06-037-9002,2000,2000-06-26,June
24,Lancaster,06-037-9002,2000,2000-06-27,June
22,Lancaster,06-037-9002,2000,2000-06-28,June
55,Azusa,06-037-0002,2000,2000-06-29,June
30,Lancaster,06-037-9002,2000,2000-06-30,June
22,Lancaster,06-037-9002,2000,2000-07-01,July
24,Lancaster,06-037-9002,2000,2000-07-02,July
25,Lancaster,06-037-9002,2000,2000-07-03,July
27,Lancaster,06-037-9002,2000,2000-07-04,July
70,Azusa,06-037-0002,2000,2000-07-05,July
20,Lancaster,06-037-9002,2000,2000-07-06,July
17,Lancaster,06-037-9002,2000,2000-07-07,July
17,Lancaster,06-037-9002,2000,2000-07-08,July
17,Lancaster,06-037-9002,2000,2000-07-09,July
19,Lancaster,06-037-9002,2000,2000-07-10,July
42,Azusa,06-037-0002,2000,2000-07-11,July
22,Lancaster,06-037-9002,2000,2000-07-12,July
18,Lancaster,06-037-9002,2000,2000-07-13,July
27,Long Beach,06-037-4002,2000,2000-07-14,July
23,Lancaster,06-037-9002,2000,2000-07-15,July
19,Lancaster,06-037-9002,2000,2000-07-16,July
52,Azusa,06-037-0002,2000,2000-07-17,July
25,Lancaster,06-037-9002,2000,2000-07-18,July
29,Lancaster,06-037-9002,2000,2000-07-19,July
47,Long Beach,06-037-4002,2000,2000-07-20,July
25,Lancaster,06-037-9002,2000,2000-07-21,July
30,Lancaster,06-037-9002,2000,2000-07-22,July
36,Los Angeles,06-037-1103,2000,2000-07-23,July
27,Lancaster,06-037-9002,2000,2000-07-24,July
62,Azusa,06-037-0002,2000,2000-07-25,July
31,Lancaster,06-037-9002,2000,2000-07-26,July
29,Lancaster,06-037-9002,2000,2000-07-27,July
30,Lancaster,06-037-9002,2000,2000-07-28,July
41,Azusa,06-037-0002,2000,2000-07-29,July
26,Lancaster,06-037-9002,2000,2000-07-30,July
50,Lancaster,06-037-9002,2000,2000-07-31,July
44,Lancaster,06-037-9002,2000,2000-08-01,August
27,Lancaster,06-037-9002,2000,2000-08-03,August
52,Azusa,06-037-0002,2000,2000-08-04,August
33,Lancaster,06-037-9002,2000,2000-08-05,August
